"REG_INST","REG_RESP","PGMCIPAP","PGM_P034","PGM_P100","PGM_280A","PGM_280B","PGM_280C","PGM_280D","PGM_280E","PGM_280F","PGM_290","PGM_350","PGM_380","PGM_P401","PGM_410","PGM_415","PGM_430","EDU_010","HLOSINTP","STL_010","STULOANS","STL_160B","STL_160C","STL_160D","STL_160E","STL_160F","STL_160G","STL_160H","STL_160I","STL_160J","STL_160L","STLP160N","BEF_P140","BEF_160","HLOSGRDP","PAR1GRD","PAR1INT","PAR2GRD","PAR2INT","GRADAGEP","GENDER2","MS_P01","MS_P02","CTZSHIPP","VISBMINP","DDIS_FL","LFCINDP","PUMFID","LFSTATP","WTPF"
"4","4","9","1","1","2","2","2","2","2","1","1","1","2","3","2","3","2","2","2","1","1","2","2","2","1","1","2","2","2","2","2","2","1","2","2","1","1","1","1","1","2","1","2","1","2","2","7","59117","1",10.7512
"3","3","1","1","1","2","2","2","2","2","1","1","1","2","2","2","1","2","1","2","1","1","2","1","2","1","1","2","1","2","2","2","2","1","6","2","1","1","1","1","4","1","1","1","2","1","2","5","59118","1",60.3918
"3","3","6","2","2","2","2","2","2","2","1","1","1","2","1","3","3","1","2","2","1","1","1","2","2","1","2","2","2","2","2","2","2","3","4","2","2","2","1","1","1","2","1","2","1","1","1","7","59124","1",163.5169
"4","4","8","1","2","2","2","2","2","2","1","2","1","2","1","2","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","3","1","2","2","2","2","2","1","1","2","2","3","1","2","2","59127","1",15.9058
"4","4","5","1","2","2","2","2","2","2","1","1","2","2","2","7","2","1","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","1","3","2","2","2","2","2","3","2","1","1","3","1","2","3","59138","1",11.4904
"4","4","2","1","2","2","1","2","2","2","2","1","1","2","1","4","3","2","1","3","1","1","2","1","2","1","1","2","1","2","2","2","2","3","1","2","3","2","1","1","1","1","1","2","1","2","1","3","59139","1",26.8406
"1","1","9","1","1","2","2","2","2","2","1","1","2","2","2","3","1","1","2","2","1","1","2","2","2","2","2","2","1","2","2","2","2","1","6","2","3","3","2","2","3","2","2","1","1","2","2","7","59144","1",10.2121
"4","4","9","1","1","1","2","2","2","2","2","1","1","2","2","4","3","1","2","2","2","2","2","2","2","1","1","2","1","2","2","2","2","3","6","2","2","2","1","1","1","2","1","2","1","2","1","6","59145","1",26.2513
"1","1","4","1","2","2","2","2","2","2","1","1","2","2","2","4","3","2","2","2","1","1","2","2","2","1","2","2","1","2","2","1","2","3","2","2","1","1","1","1","1","2","2","2","1","2","1","7","59146","1",10.3937
"4","4","9","1","1","2","2","2","2","2","1","1","1","1","2","3","3","1","2","2","1","1","1","2","2","1","1","2","2","2","1","2","2","1","4","2","3","3","1","1","1","2","2","2","1","2","1","7","59147","1",33.8207
"4","4","9","1","1","2","2","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","2","2","2","2","1","2","2","2","2","2","2","1","6","2","2","2","2","2","2","2","2","2","2","1","2","7","59149","1",30.4938
"3","3","4","1","2","2","2","2","2","2","1","1","2","2","2","2","2","2","1","3","1","1","2","2","1","1","1","2","1","1","2","2","2","3","6","2","1","1","1","1","1","2","2","2","1","2","1","7","59151","1",89.2139
"1","1","6","1","2","2","2","2","2","2","1","1","2","2","1","3","3","1","2","2","1","1","2","2","2","1","1","2","2","2","2","2","2","3","2","2","1","1","1","1","1","2","1","2","2","2","2","2","59155","1",11.2156
"4","4","7","1","2","2","2","2","2","2","1","1","1","2","2","3","3","1","1","2","1","1","2","1","2","1","1","2","2","2","2","2","2","3","4","2","3","3","3","3","1","2","1","2","1","2","1","5","59156","1",10.466
"1","1","2","2","2","2","2","2","2","2","1","1","1","2","3","4","6","1","2","2","1","1","1","1","2","2","1","2","1","2","1","2","2","1","4","2","1","1","1","1","2","2","1","2","1","2","1","3","59162","1",10.5691
"4","4","1","1","1","2","2","2","2","2","1","2","1","2","1","3","3","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","4","6","2","1","1","1","1","2","2","1","1","1","2","2","5","59164","1",10.8838
"1","1","1","1","1","2","2","2","2","2","1","2","2","2","1","1","4","1","2","2","1","1","2","2","2","2","2","2","1","1","1","2","2","3","1","2","2","2","3","3","1","2","2","2","1","2","1","5","59165","1",10.351
"1","1","5","1","2","2","2","2","2","2","1","1","1","2","2","3","1","1","1","2","1","1","2","2","2","2","1","2","1","2","2","1","1","3","6","2","1","1","1","1","1","1","2","2","1","2","2","3","59169","1",10.3036
"2","2","5","1","1","2","2","2","2","2","1","1","1","2","2","3","3","1","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","3","6","2","2","2","2","2","1","1","1","2","1","2","2","3","59170","1",58.2681
"4","4","9","1","1","2","2","2","2","2","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","3","2","2","3","3","3","3","1","2","2","2","2","1","2","7","59173","1",17.8564
"4","4","8","1","1","2","2","2","2","2","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","1","4","2","3","3","1","1","2","2","2","2","2","1","2","1","59176","1",12.1129
"4","4","4","2","2","2","2","2","2","2","1","1","2","2","3","2","3","1","2","2","1","1","2","2","2","1","1","2","2","2","1","2","2","1","6","2","1","1","1","1","3","2","2","2","1","2","2","4","59178","1",19.922
"4","4","5","1","2","2","2","1","2","2","2","1","1","2","2","4","6","2","2","2","1","1","2","1","1","1","1","2","1","2","2","2","2","3","6","2","1","1","1","1","2","2","2","2","1","1","1","3","59192","1",11.4904
"1","4","8","1","2","2","2","2","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","3","3","2","3","3","3","3","1","2","2","2","2","1","1","1","59198","1",10.0341
"4","4","4","1","2","2","2","2","2","2","1","2","2","2","3","2","5","2","2","2","2","2","2","2","2","2","1","2","1","2","1","2","2","3","3","2","2","2","2","2","1","2","2","2","1","2","1","7","59205","1",10.4806
"4","4","8","1","2","2","1","2","2","2","2","1","2","2","1","1","3","1","2","2","1","1","2","2","2","2","1","2","2","1","2","2","2","1","5","2","1","1","1","1","3","1","1","1","1","2","2","1","59206","1",11.2056
"4","4","5","1","1","2","2","2","2","2","1","1","2","2","2","3","3","1","2","2","1","1","1","2","2","2","1","2","2","2","2","2","2","3","3","2","2","2","1","1","1","2","2","2","2","1","2","4","59211","1",11.4904
"4","4","6","1","2","2","2","2","2","2","1","1","1","2","3","2","1","1","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","3","1","2","1","1","1","1","1","2","1","2","1","2","1","1","59213","1",14.4196
"1","1","6","1","1","2","2","2","2","2","1","1","2","2","1","3","3","1","1","2","2","2","1","2","1","1","1","2","2","2","2","2","2","3","2","2","2","2","1","1","1","2","2","2","1","2","2","4","59215","1",10.3922
"3","3","4","1","2","2","2","2","2","2","1","1","1","2","2","1","3","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","3","5","2","2","2","2","2","1","2","2","2","1","2","1","2","59220","1",89.2139
"1","1","9","1","1","2","2","2","2","2","1","1","1","2","1","6","3","2","2","2","1","1","2","1","1","2","2","2","2","1","2","2","2","1","5","2","3","3","3","3","1","1","2","2","1","2","2","7","59222","1",11.1996
"1","1","4","1","2","2","1","2","1","2","2","1","1","2","2","1","3","2","2","2","2","2","2","2","1","1","1","2","1","2","2","2","1","3","5","2","1","1","1","1","1","1","2","2","1","2","1","5","59223","1",11.0999
"4","4","4","1","2","2","2","2","2","2","1","2","1","2","1","2","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","3","6","2","3","3","2","2","1","1","2","2","1","2","1","3","59225","1",10.5646
"4","4","5","1","1","2","2","2","2","2","1","2","1","2","2","3","3","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","6","2","1","1","1","1","4","2","1","1","1","2","1","7","59227","1",10.9843
"4","4","5","1","2","2","2","1","2","2","2","2","2","2","2","2","3","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","6","3","1","1","1","1","4","1","1","2","3","1","2","4","59229","1",11.0027
"4","4","5","1","2","2","1","2","2","2","2","1","2","2","1","4","1","1","2","2","2","2","2","2","1","1","1","2","1","2","2","2","2","3","2","2","3","3","2","2","1","2","2","2","1","1","1","3","59239","1",27.6229
"2","2","4","1","1","2","2","2","2","2","1","1","1","2","2","2","3","2","2","2","1","1","2","2","2","2","1","2","1","1","1","2","2","3","2","2","2","2","2","2","1","2","2","2","1","2","2","3","59240","1",58.577
"1","4","5","1","2","2","2","2","2","2","1","1","2","2","1","5","1","2","1","2","2","2","1","2","2","1","1","2","1","2","2","2","2","3","4","2","2","2","1","1","1","2","2","2","1","2","2","4","59241","1",10.1468
"2","2","2","1","2","2","2","2","2","2","1","2","2","2","3","7","6","1","1","2","1","1","2","2","2","2","2","2","2","2","2","2","1","2","1","2","1","1","1","1","4","2","1","1","2","1","2","6","59245","1",53.6089
"4","4","5","1","2","2","2","2","2","2","1","1","2","2","3","9","3","1","2","2","2","2","2","2","2","1","1","2","1","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","1","2","2","3","59249","1",16.4424
"4","4","9","1","2","2","2","2","2","1","2","1","1","2","2","3","3","1","1","3","2","2","1","2","2","2","2","2","2","1","2","2","2","3","5","2","1","1","1","1","1","2","2","2","1","2","1","7","59250","1",10.7512
"4","4","1","1","1","2","2","2","2","2","1","1","2","2","2","3","2","1","2","2","1","1","1","1","2","1","1","2","1","2","2","2","2","3","6","2","1","1","1","1","1","2","1","2","1","2","1","5","59252","1",11.0653
"4","4","4","1","1","2","1","2","1","1","2","1","1","1","1","9","2","1","2","2","2","2","1","2","2","1","1","2","2","2","1","1","2","1","4","2","3","3","3","3","2","1","2","2","1","2","2","1","59253","1",17.4488
"4","4","5","1","2","2","2","2","2","2","1","1","2","2","1","3","1","1","1","2","1","1","2","2","2","2","1","2","2","2","2","2","2","1","6","2","2","2","1","1","1","2","2","2","1","2","2","2","59259","1",17.421
"4","4","4","1","2","2","2","2","2","2","1","1","1","2","1","2","3","1","2","2","2","2","2","2","2","1","1","2","1","2","2","2","2","3","6","2","2","2","2","2","2","2","2","2","1","2","1","4","59260","1",10.4449
"4","4","4","1","1","1","1","1","2","2","2","1","1","2","1","5","1","1","2","2","2","2","2","2","2","1","2","2","1","2","2","1","2","3","2","2","2","2","2","2","1","1","2","2","2","1","2","1","59261","1",10.393
"1","1","9","1","1","2","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","3","1","2","3","3","3","3","1","2","1","2","1","2","1","7","59263","1",10.1406
"3","3","6","1","2","2","2","2","2","2","1","2","2","2","1","9","6","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","1","5","1","2","1","1","1","1","1","2","2","2","1","2","2","5","59266","1",74.5716
"4","4","2","2","2","2","2","2","2","2","1","1","1","2","2","9","6","2","1","3","1","1","2","2","1","1","1","1","2","2","2","2","2","3","6","2","1","1","1","1","2","1","2","2","1","2","1","3","59268","1",36.0757
"2","2","5","1","2","2","2","2","2","2","1","1","1","2","2","3","3","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","3","1","2","2","2","2","2","1","2","1","1","1","2","2","4","59269","1",55.5059
"4","4","9","1","2","2","2","2","2","2","1","2","2","2","1","3","3","1","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","3","1","3","3","3","3","3","2","1","2","2","1","1","2","7","59278","1",37.5762
"4","4","6","2","1","2","2","2","2","2","1","1","1","2","1","3","2","2","1","3","1","1","1","1","2","1","1","2","2","2","2","2","2","3","3","2","2","1","1","1","1","1","1","2","1","2","1","3","59282","1",14.5165
